#NSGA2
popsize 60
maxGen 60
numVar 6
numObj 2
numCons 3
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	60
totalTime	77.2941
firstFrontCount	2
frontCount	58
avgEvalTime	11.4431
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
100000	192.968	0.896783	1.96152	0.43887	10000	0.628608	0.212092	0	0	0	
100000	414.633	0.592998	0.598202	0.602843	10000	0.488995	0.336042	0	0	0	
100000	126.243	0.300742	0.705679	0.424167	10000	0.289338	0.0799827	0	0	0	
100000	269.857	0.794994	0.155519	0.928854	10000	0.109589	0.0543688	0	0	0	
100000	582.74	0.242538	0.971813	0.963089	10000	0.330396	0.881829	0	0	0	
100000	239.278	0.48912	1.28571	0.679136	10000	0.492665	0.506777	0	0	0	
100000	988.102	0.0469841	1.78182	0.913287	10000	0.25098	0.948133	0	0	0	
100000	269.252	0.33865	1.39148	0.136553	10000	0.503066	0.269157	0	0	0	
100000	657.22	0.49429	1.5802	0.715037	10000	0.605863	0.691613	0	0	0	
100000	340.821	0.694771	0.475839	0.0305409	10000	0.531386	2.96609e-05	0	0	0	
100000	485.123	0.896628	1.25875	0.617666	10000	0.628031	0.396287	0	0	0	
100000	580.954	0.189264	0.555871	0.886512	10000	0.200633	0.718408	0	0	0	
100000	176.248	0.969107	1.45412	0.500472	10000	0.629027	0.222684	0	0	0	
100000	685.152	0.0515825	0.235746	0.52165	10000	0.315347	0.588354	0	0	0	
100000	819.372	0.717991	0.384744	0.659605	10000	0.571372	0.438925	0	0	0	
100000	652.502	0.794324	0.962216	0.432392	10000	0.624649	0.263818	0	0	0	
100000	141.839	0.179921	0.842782	0.83138	10000	0.130161	0.358891	0	0	0	
100000	405.265	0.526338	0.891919	0.65686	10000	0.531791	0.508645	0	0	0	
100000	437.335	0.0251774	1.96972	0.167168	10000	0.325727	0.837704	0	0	0	
100000	206.137	0.489894	0.745037	0.95163	10000	0.236108	0.608503	0	0	0	
100000	740.48	0.273737	0.903388	0.547871	10000	0.506231	0.626351	0	0	0	
100000	983.222	0.305426	1.43209	0.666339	10000	0.588265	0.757737	0	0	0	
100000	669.863	0.18457	0.343227	0.99908	10000	0.0840612	0.729699	0	0	0	



#Generation 2 / 60
currentGen	2
evaluateCount	120
totalTime	342.106
firstFrontCount	4
frontCount	47
avgEvalTime	12.6352
